step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.245,0.10040983606557377,0.25,0.10204081632653061,0,0,,0.0,"[np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0)]","[np.float32(0.0), np.float32(0.98), np.float32(0.0), np.float32(0.0)]","[0.25, 0.25, 0.25, 0.25]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[nan, nan, nan, nan]","[0, 0, 0, 0]","[0, 0, 0, 0]","[nan, nan, nan, nan]"
25,0.445,0.4046652566070042,0.75,0.7523931532685669,0,0,,0.98,"[np.float32(0.9), np.float32(1.0), np.float32(0.5), np.float32(0.6)]","[np.float32(0.42), np.float32(1.0), np.float32(0.06), np.float32(0.3)]","[0.2318672239780426, 0.2739858627319336, 0.2774351239204407, 0.21671150624752045]","[0.8357529640197754, 0.9875673055648804, 1.0, 0.781125009059906]","[0, 0, 0, 0]","[0, 0, 0, 0]","[nan, nan, nan, nan]","[0, 0, 0, 0]","[0, 0, 0, 0]","[nan, nan, nan, nan]"
50,0.565,0.5398696672773671,0.925,0.9264556318332061,2,4,0.5,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.8)]","[np.float32(0.74), np.float32(0.98), np.float32(0.32), np.float32(0.22)]","[0.28819459676742554, 0.2728852331638336, 0.28154173493385315, 0.157378152012825]","[1.0, 0.9468783736228943, 0.9769153594970703, 0.5460829138755798]","[4, 0, 0, 0]","[2, 0, 0, 0]","[0.5, nan, nan, nan]","[4, 0, 0, 0]","[2, 0, 0, 0]","[0.5, nan, nan, nan]"
75,0.725,0.7312917916926873,0.95,0.949937343358396,97,115,0.8434782608695652,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.8), np.float32(0.72), np.float32(0.78), np.float32(0.6)]","[0.25870275497436523, 0.19536423683166504, 0.27597561478614807, 0.26995718479156494]","[0.9374116659164429, 0.7079039812088013, 1.0, 0.978192150592804]","[33, 14, 37, 31]","[28, 10, 37, 22]","[0.8484848737716675, 0.7142857313156128, 1.0, 0.7096773982048035]","[37, 14, 37, 31]","[30, 10, 37, 22]","[0.8108108043670654, 0.7142857313156128, 1.0, 0.7096773982048035]"
100,0.76,0.7644191844667357,0.95,0.949937343358396,285,351,0.811965811965812,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.76), np.float32(0.76), np.float32(0.84), np.float32(0.68)]","[0.23320937156677246, 0.24758200347423553, 0.242282897233963, 0.27692553400993347]","[0.8421374559402466, 0.894038200378418, 0.8749027252197266, 1.0]","[98, 73, 91, 89]","[77, 55, 86, 67]","[0.7857142686843872, 0.7534246444702148, 0.9450549483299255, 0.7528089880943298]","[135, 87, 128, 120]","[107, 65, 123, 89]","[0.7925925850868225, 0.7471264600753784, 0.9609375, 0.7416666746139526]"
125,0.755,0.7564541379551329,0.95,0.9498746867167919,353,450,0.7844444444444445,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.8), np.float32(0.82), np.float32(0.84), np.float32(0.56)]","[0.28056496381759644, 0.23322677612304688, 0.2631750702857971, 0.22303301095962524]","[1.0, 0.831275463104248, 0.9380183219909668, 0.7949424982070923]","[113, 93, 127, 117]","[83, 68, 120, 82]","[0.7345132827758789, 0.7311828136444092, 0.9448819160461426, 0.7008547186851501]","[248, 180, 255, 237]","[190, 133, 243, 171]","[0.7661290168762207, 0.7388888597488403, 0.9529411792755127, 0.7215189933776855]"
150,0.765,0.7667127439464716,0.95,0.9498746867167919,424,536,0.7910447761194029,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.8), np.float32(0.84), np.float32(0.86), np.float32(0.56)]","[0.2519897520542145, 0.3048801124095917, 0.21907632052898407, 0.22405360639095306]","[0.8265208005905151, 1.0, 0.7185654640197754, 0.734890878200531]","[141, 101, 161, 133]","[105, 69, 156, 94]","[0.7446808218955994, 0.6831682920455933, 0.9689440727233887, 0.7067669034004211]","[389, 281, 416, 370]","[295, 202, 399, 265]","[0.7583547830581665, 0.7188612222671509, 0.9591346383094788, 0.7162162065505981]"
175,0.78,0.7814502352579562,0.95,0.9498746867167919,440,581,0.7573149741824441,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.8), np.float32(0.82), np.float32(0.9), np.float32(0.6)]","[0.23539967834949493, 0.2987368702888489, 0.2666446566581726, 0.19921855628490448]","[0.7879833579063416, 1.0, 0.8925736546516418, 0.6668696403503418]","[165, 111, 162, 143]","[116, 70, 156, 98]","[0.7030302882194519, 0.630630612373352, 0.9629629850387573, 0.6853147149085999]","[554, 392, 578, 513]","[411, 272, 555, 363]","[0.7418772578239441, 0.6938775777816772, 0.9602076411247253, 0.707602322101593]"
200,0.765,0.7646108097313297,0.95,0.9498746867167919,507,653,0.776416539050536,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.8), np.float32(0.86), np.float32(0.88), np.float32(0.52)]","[0.24093282222747803, 0.1284179985523224, 0.36376845836639404, 0.26688051223754883]","[0.6623246669769287, 0.3530212640762329, 1.0, 0.7336549162864685]","[149, 133, 206, 165]","[117, 87, 196, 107]","[0.7852349281311035, 0.6541353464126587, 0.9514563083648682, 0.6484848260879517]","[703, 525, 784, 678]","[528, 359, 751, 470]","[0.7510668635368347, 0.6838095188140869, 0.9579081535339355, 0.6932153105735779]"
225,0.75,0.7478945924669609,0.95,0.9498746867167919,540,713,0.7573632538569425,0.98,"[np.float32(1.0), np.float32(1.0), np.float32(0.9), np.float32(0.9)]","[np.float32(0.82), np.float32(0.8), np.float32(0.9), np.float32(0.48)]","[0.2365160435438156, 0.24951601028442383, 0.2763427197933197, 0.23762504756450653]","[0.8558794260025024, 0.9029223322868347, 1.0, 0.8598925471305847]","[202, 124, 211, 176]","[142, 79, 206, 113]","[0.7029703259468079, 0.6370967626571655, 0.9763033390045166, 0.6420454382896423]","[905, 649, 995, 854]","[670, 438, 957, 583]","[0.7403314709663391, 0.6748844385147095, 0.9618090391159058, 0.6826698184013367]"
