step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.2125,0.14457601222307104,0.2,0.12272727272727273,0,0,,0.0,"[0.1, 0.0, 0.0, 0.7]","[0.0, 0.05, 0.05, 0.75]","[0.25, 0.25, 0.25, 0.25]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[nan, nan, nan, nan]","[0, 0, 0, 0]","[0, 0, 0, 0]","[nan, nan, nan, nan]"
25,0.5625,0.5461098310291859,0.825,0.8209512169752444,0,0,,0.98,"[0.9, 0.8, 0.6, 1.0]","[0.8, 0.2, 0.55, 0.7]","[0.2429870218038559, 0.2662212550640106, 0.2551398277282715, 0.2356516420841217]","[0.9127258658409119, 1.0, 0.958375096321106, 0.8851721286773682]","[0, 0, 0, 0]","[0, 0, 0, 0]","[nan, nan, nan, nan]","[0, 0, 0, 0]","[0, 0, 0, 0]","[nan, nan, nan, nan]"
50,0.7,0.6981262451645727,0.95,0.949937343358396,44,46,0.9565217391304348,0.98,"[0.9, 1.0, 1.0, 0.9]","[0.75, 0.45, 0.9, 0.7]","[0.17850486934185028, 0.253263384103775, 0.321690171957016, 0.24654138088226318]","[0.554896891117096, 0.7872897982597351, 1.0, 0.7663938999176025]","[18, 1, 14, 13]","[18, 1, 13, 12]","[1.0, 1.0, 0.9285714030265808, 0.9230769276618958]","[18, 1, 14, 13]","[18, 1, 13, 12]","[1.0, 1.0, 0.9285714030265808, 0.9230769276618958]"
75,0.725,0.7223716722461342,0.95,0.9509569377990432,486,577,0.8422876949740035,0.98,"[1.0, 1.0, 0.9, 0.9]","[0.9, 0.5, 0.9, 0.6]","[0.16273298859596252, 0.3111731708049774, 0.3505858778953552, 0.17550770938396454]","[0.46417438983917236, 0.8875804543495178, 1.0, 0.5006126165390015]","[203, 76, 87, 211]","[187, 52, 79, 168]","[0.9211822748184204, 0.6842105388641357, 0.9080459475517273, 0.7962085604667664]","[221, 77, 101, 224]","[205, 53, 92, 180]","[0.9276018142700195, 0.6883116960525513, 0.9108911156654358, 0.8035714030265808]"
100,0.725,0.7217887154861945,0.975,0.9749373433583961,733,955,0.7675392670157068,0.98,"[1.0, 1.0, 1.0, 0.9]","[0.85, 0.5, 0.9, 0.65]","[0.24833764135837555, 0.26245540380477905, 0.2872782051563263, 0.2019284963607788]","[0.8644499778747559, 0.9135931730270386, 1.0, 0.7029022574424744]","[331, 161, 147, 316]","[272, 100, 135, 226]","[0.8217522501945496, 0.6211180090904236, 0.918367326259613, 0.7151898741722107]","[552, 238, 248, 540]","[477, 153, 227, 406]","[0.864130437374115, 0.6428571343421936, 0.9153226017951965, 0.7518518567085266]"
125,0.7125,0.7099348998303703,0.925,0.9264556318332062,854,1095,0.7799086757990867,0.98,"[1.0, 1.0, 0.8, 0.9]","[0.85, 0.5, 0.9, 0.6]","[0.17966999113559723, 0.3345680236816406, 0.3429487347602844, 0.1428130716085434]","[0.5238975286483765, 0.9755628108978271, 1.0, 0.4164268672466278]","[390, 167, 193, 345]","[327, 107, 172, 248]","[0.8384615182876587, 0.6407185792922974, 0.8911917209625244, 0.7188405990600586]","[942, 405, 441, 885]","[804, 260, 399, 654]","[0.8535031676292419, 0.6419752836227417, 0.9047619104385376, 0.7389830350875854]"
150,0.7,0.695610569308994,0.95,0.9509569377990432,895,1144,0.7823426573426573,0.98,"[1.0, 1.0, 0.9, 0.9]","[0.85, 0.5, 0.9, 0.55]","[0.20306935906410217, 0.23896481096744537, 0.41157835721969604, 0.14638717472553253]","[0.4933917224407196, 0.5806058645248413, 1.0, 0.355672687292099]","[399, 217, 211, 317]","[329, 140, 193, 233]","[0.8245614171028137, 0.6451612710952759, 0.9146919250488281, 0.7350157499313354]","[1341, 622, 652, 1202]","[1133, 400, 592, 887]","[0.8448918461799622, 0.6430867910385132, 0.907975435256958, 0.737936794757843]"
175,0.775,0.7766048623191479,0.95,0.9509569377990432,957,1223,0.7825020441537204,0.98,"[1.0, 1.0, 0.9, 0.9]","[0.9, 0.6, 0.9, 0.7]","[0.19760452210903168, 0.3358732759952545, 0.2587409019470215, 0.20778101682662964]","[0.5883305668830872, 1.0, 0.7703527212142944, 0.6186292171478271]","[413, 243, 258, 309]","[347, 149, 236, 225]","[0.8401936888694763, 0.6131687164306641, 0.9147287011146545, 0.7281553149223328]","[1754, 865, 910, 1511]","[1480, 549, 828, 1112]","[0.8437856435775757, 0.6346820592880249, 0.9098901152610779, 0.7359364628791809]"
200,0.725,0.710156452486982,0.95,0.9509569377990432,1097,1404,0.7813390313390314,0.98,"[1.0, 1.0, 0.9, 0.9]","[0.85, 0.7, 0.95, 0.4]","[0.1849006563425064, 0.33991920948028564, 0.37454283237457275, 0.10063712298870087]","[0.493670254945755, 0.9075576663017273, 1.0, 0.2686932384967804]","[408, 327, 357, 312]","[339, 202, 322, 234]","[0.8308823704719543, 0.6177369952201843, 0.9019607901573181, 0.75]","[2162, 1192, 1267, 1823]","[1819, 751, 1150, 1346]","[0.8413506150245667, 0.630033552646637, 0.9076558947563171, 0.7383434176445007]"
225,0.7375,0.7367846799161091,0.95,0.9509569377990432,1203,1529,0.7867887508175277,0.98,"[1.0, 1.0, 0.9, 0.9]","[0.9, 0.6, 0.9, 0.55]","[0.24115321040153503, 0.22158867120742798, 0.4253721833229065, 0.11188574880361557]","[0.5669228434562683, 0.5209289193153381, 1.0, 0.2630302309989929]","[426, 319, 446, 338]","[349, 210, 404, 240]","[0.8192488551139832, 0.6583071947097778, 0.9058296084403992, 0.7100591659545898]","[2588, 1511, 1713, 2161]","[2168, 961, 1554, 1586]","[0.8377125263214111, 0.6360026597976685, 0.9071803689002991, 0.7339195013046265]"
250,0.7625,0.7657473009446694,0.95,0.9509569377990432,1285,1651,0.7783161720169595,0.98,"[1.0, 1.0, 0.9, 0.9]","[0.85, 0.6, 0.9, 0.7]","[0.23991380631923676, 0.25058358907699585, 0.29448384046554565, 0.21501854062080383]","[0.8146926164627075, 0.8509247303009033, 1.0, 0.7301539778709412]","[423, 402, 482, 344]","[350, 257, 430, 248]","[0.8274231553077698, 0.6393035054206848, 0.8921161890029907, 0.7209302186965942]","[3011, 1913, 2195, 2505]","[2518, 1218, 1984, 1834]","[0.8362669944763184, 0.6366962790489197, 0.9038724303245544, 0.7321357131004333]"
275,0.775,0.7788137458725695,0.95,0.9509569377990432,1262,1627,0.775660725261217,0.98,"[1.0, 1.0, 0.9, 0.9]","[0.9, 0.6, 0.9, 0.7]","[0.23252373933792114, 0.2594849169254303, 0.2884395122528076, 0.21955165266990662]","[0.8061438798904419, 0.8996164202690125, 1.0, 0.761170506477356]","[386, 403, 508, 330]","[328, 255, 442, 237]","[0.8497409224510193, 0.6327543258666992, 0.8700787425041199, 0.7181817889213562]","[3397, 2316, 2703, 2835]","[2846, 1473, 2426, 2071]","[0.8377980589866638, 0.6360103487968445, 0.8975212574005127, 0.730511486530304]"
300,0.7625,0.7665139028584407,0.95,0.9509569377990432,1333,1732,0.7696304849884527,0.98,"[1.0, 1.0, 0.9, 0.9]","[0.85, 0.6, 0.9, 0.7]","[0.23172101378440857, 0.29202601313591003, 0.27347350120544434, 0.20277920365333557]","[0.7934944033622742, 1.0, 0.9364696741104126, 0.6943874955177307]","[404, 425, 535, 368]","[338, 274, 461, 260]","[0.8366336822509766, 0.6447058916091919, 0.8616822361946106, 0.70652174949646]","[3801, 2741, 3238, 3203]","[3184, 1747, 2887, 2331]","[0.8376743197441101, 0.6373586058616638, 0.8915997743606567, 0.7277552485466003]"
record_time,best_step,test_acc,test_f1,device_idx,dataset,n_labeled_per_class,bs,ul_ratio,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,seed
20250704-071211,175,0.8125,0.815211211552675,0,uit-vsfc,10,8,10,1e-05,1,0.98,True,2,True,True,0.9,False,0.9,25,5,100000,0
